PassengerId,Survived,Pclass,Age,SibSp,Parch,FamilySize,Fare,FarePP,Title_Dr,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rev,Sex_male,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Embarked_Q,Embarked_S
34,0,2,66.0,0,0,1,10.5,10.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
35,0,1,28.0,1,0,2,82.1708,41.0854,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
36,0,1,42.0,1,0,2,52.0,26.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
37,1,3,29.184491978609625,0,0,1,7.2292,7.2292,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
38,0,3,21.0,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
39,0,3,18.0,2,0,3,18.0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
40,1,3,14.0,1,0,2,11.2417,5.6208,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41,0,3,40.0,1,0,2,9.475,4.7375,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
42,0,2,27.0,1,0,2,21.0,10.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
43,0,3,29.18449197860963,0,0,1,7.8958,7.8958,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
44,1,2,3.0,1,2,4,41.5792,10.3948,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45,1,3,19.0,0,0,1,7.8792,7.8792,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
46,0,3,29.18449197860963,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
47,0,3,24.823529411764707,1,0,2,15.5,7.75,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
48,1,3,23.56578947368421,0,0,1,7.75,7.75,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
49,0,3,28.666666666666668,2,0,3,21.6792,7.2264,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
50,0,3,18.0,1,0,2,17.8,8.9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
51,0,3,7.0,4,1,6,39.6875,6.6146,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
52,0,3,21.0,0,0,1,7.8,7.8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
53,1,1,49.0,1,0,2,76.7292,38.3646,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
54,1,2,29.0,1,0,2,26.0,13.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
55,0,1,65.0,0,1,2,61.9792,30.9896,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
56,1,1,44.601851851851855,0,0,1,35.5,35.5,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
57,1,2,21.0,0,0,1,10.5,10.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
58,0,3,28.5,0,0,1,7.2292,7.2292,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
59,1,2,5.0,1,2,4,27.75,6.9375,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
60,0,3,11.0,5,2,8,46.9,5.8625,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
61,0,3,22.0,0,0,1,7.2292,7.2292,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
62,1,1,38.0,0,0,1,80.0,80.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
63,0,1,45.0,1,0,2,83.475,41.7375,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
64,0,3,4.0,3,2,6,27.9,4.65,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
65,0,1,44.60185185185185,0,0,1,27.7208,27.7208,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
66,1,3,20.23076923076923,1,1,3,15.2458,5.0819,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
67,1,2,29.0,0,0,1,10.5,10.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
68,0,3,19.0,0,0,1,8.1583,8.1583,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
69,1,3,17.0,4,2,7,7.925,1.1321,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
70,0,3,26.0,2,0,3,8.6625,2.8875,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
71,0,2,32.0,0,0,1,10.5,10.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
72,0,3,16.0,5,2,8,46.9,5.8625,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
73,0,2,21.0,0,0,1,73.5,73.5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
74,0,3,26.0,1,0,2,14.4542,7.2271,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
75,1,3,32.0,0,0,1,56.4958,56.4958,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
76,0,3,25.0,0,0,1,7.65,7.65,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
77,0,3,29.184491978609625,0,0,1,7.8958,7.8958,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
78,0,3,29.18449197860963,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
79,1,2,0.83,0,2,3,29.0,9.6667,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
80,1,3,30.0,0,0,1,12.475,12.475,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
81,0,3,22.0,0,0,1,9.0,9.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
82,1,3,29.0,0,0,1,9.5,9.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
83,1,3,23.565789473684212,0,0,1,7.7875,7.7875,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
84,0,1,28.0,0,0,1,47.1,47.1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
85,1,2,17.0,0,0,1,10.5,10.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
86,1,3,33.0,3,0,4,15.85,3.9625,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
87,0,3,16.0,1,3,5,34.375,6.875,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
88,0,3,29.18449197860963,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
89,1,1,23.0,3,2,6,263.0,43.8333,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
90,0,3,24.0,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
91,0,3,29.0,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
92,0,3,20.0,0,0,1,7.8542,7.8542,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
93,0,1,46.0,1,0,2,61.175,30.5875,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
94,0,3,26.0,1,2,4,20.575,5.1438,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
95,0,3,59.0,0,0,1,7.25,7.25,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
96,0,3,29.184491978609625,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
97,0,1,71.0,0,0,1,34.6542,34.6542,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
98,1,1,23.0,0,1,2,63.3583,31.6792,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
99,1,2,34.0,0,1,2,23.0,11.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
100,0,2,34.0,1,0,2,26.0,13.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
101,0,3,28.0,0,0,1,7.8958,7.8958,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
102,0,3,29.184491978609625,0,0,1,7.8958,7.8958,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
103,0,1,21.0,0,1,2,77.2875,38.6438,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
104,0,3,33.0,0,0,1,8.6542,8.6542,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
105,0,3,37.0,2,0,3,7.925,2.6417,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
106,0,3,28.0,0,0,1,7.8958,7.8958,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
107,1,3,21.0,0,0,1,7.65,7.65,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
108,1,3,29.18449197860963,0,0,1,7.775,7.775,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
109,0,3,38.0,0,0,1,7.8958,7.8958,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
110,1,3,25.035714285714285,1,0,2,24.15,12.075,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
111,0,1,47.0,0,0,1,52.0,52.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
112,0,3,14.5,1,0,2,14.4542,7.2271,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
113,0,3,22.0,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
114,0,3,20.0,1,0,2,9.825,4.9125,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
115,0,3,17.0,0,0,1,14.4583,14.4583,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
116,0,3,21.0,0,0,1,7.925,7.925,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
117,0,3,70.5,0,0,1,7.75,7.75,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
118,0,2,29.0,1,0,2,21.0,10.5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
119,0,1,24.0,0,1,2,247.5208,123.7604,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
120,0,3,2.0,4,2,7,31.275,4.4679,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
121,0,2,21.0,2,0,3,73.5,24.5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
122,0,3,29.184491978609625,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
123,0,2,32.5,1,0,2,30.0708,15.0354,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
124,1,2,32.5,0,0,1,13.0,13.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
125,0,1,54.0,0,1,2,77.2875,38.6438,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
126,1,3,12.0,1,0,2,11.2417,5.6208,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
127,0,3,29.184491978609625,0,0,1,7.75,7.75,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
128,1,3,24.0,0,0,1,7.1417,7.1417,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
129,1,3,22.11111111111111,1,1,3,22.3583,7.4528,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
130,0,3,45.0,0,0,1,6.975,6.975,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
131,0,3,33.0,0,0,1,7.8958,7.8958,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
132,0,3,20.0,0,0,1,7.05,7.05,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
133,0,3,47.0,1,0,2,14.5,7.25,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
134,1,2,29.0,1,0,2,26.0,13.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
135,0,2,25.0,0,0,1,13.0,13.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
136,0,2,23.0,0,0,1,15.0458,15.0458,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
137,1,1,19.0,0,2,3,26.2833,8.7611,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
138,0,1,37.0,1,0,2,53.1,26.55,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
139,0,3,16.0,0,0,1,9.2167,9.2167,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
140,0,1,24.0,0,0,1,79.2,79.2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
141,0,3,19.428571428571427,0,2,3,15.2458,5.0819,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
142,1,3,22.0,0,0,1,7.75,7.75,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
143,1,3,24.0,1,0,2,15.85,7.925,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
144,0,3,19.0,0,0,1,6.75,6.75,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
145,0,2,18.0,0,0,1,11.5,11.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
146,0,2,19.0,1,1,3,36.75,12.25,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
147,1,3,27.0,0,0,1,7.7958,7.7958,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
148,0,3,9.0,2,2,5,34.375,6.875,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
149,0,2,36.5,0,2,3,26.0,8.6667,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
150,0,2,42.0,0,0,1,13.0,13.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
151,0,2,51.0,0,0,1,12.525,12.525,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
152,1,1,22.0,1,0,2,66.6,33.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
153,0,3,55.5,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
154,0,3,40.5,0,2,3,14.5,4.8333,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
155,0,3,29.18449197860963,0,0,1,7.3125,7.3125,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
156,0,1,51.0,0,1,2,61.3792,30.6896,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
157,1,3,16.0,0,0,1,7.7333,7.7333,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
158,0,3,30.0,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
159,0,3,29.184491978609625,0,0,1,8.6625,8.6625,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
160,0,3,8.0,8,2,11,69.55,6.3227,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
161,0,3,44.0,0,1,2,16.1,8.05,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
162,1,2,40.0,0,0,1,15.75,15.75,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
163,0,3,26.0,0,0,1,7.775,7.775,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
164,0,3,17.0,0,0,1,8.6625,8.6625,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
165,0,3,1.0,4,1,6,39.6875,6.6146,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
166,1,3,9.0,0,2,3,20.525,6.8417,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
167,1,1,35.55555555555556,0,1,2,55.0,27.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
168,0,3,45.0,1,4,6,27.9,4.65,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
169,0,1,44.60185185185185,0,0,1,25.925,25.925,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
170,0,3,28.0,0,0,1,56.4958,56.4958,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
171,0,1,61.0,0,0,1,33.5,33.5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
172,0,3,4.0,4,1,6,29.125,4.8542,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
173,1,3,1.0,1,1,3,11.1333,3.7111,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
174,0,3,21.0,0,0,1,7.925,7.925,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
175,0,1,56.0,0,0,1,30.6958,30.6958,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
176,0,3,18.0,1,1,3,7.8542,2.6181,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
177,0,3,2.0,3,1,5,25.4667,5.0933,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
178,0,1,50.0,0,0,1,28.7125,28.7125,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
179,0,2,30.0,0,0,1,13.0,13.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
180,0,3,36.0,0,0,1,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
181,0,3,8.0,8,2,11,69.55,6.3227,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
182,0,2,33.904761904761905,0,0,1,15.05,15.05,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
183,0,3,9.0,4,2,7,31.3875,4.4839,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
184,1,2,1.0,2,1,4,39.0,9.75,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
185,1,3,4.0,0,2,3,22.025,7.3417,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
186,0,1,44.601851851851855,0,0,1,50.0,50.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
187,1,3,25.035714285714285,1,0,2,15.5,7.75,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
188,1,1,45.0,0,0,1,26.55,26.55,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
189,0,3,40.0,1,1,3,15.5,5.1667,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
190,0,3,36.0,0,0,1,7.8958,7.8958,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
191,1,2,32.0,0,0,1,13.0,13.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
192,0,2,19.0,0,0,1,13.0,13.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
193,1,3,19.0,1,0,2,7.8542,3.9271,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
194,1,2,3.0,1,1,3,26.0,8.6667,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
195,1,1,44.0,0,0,1,27.7208,27.7208,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
196,1,1,58.0,0,0,1,146.5208,146.5208,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
197,0,3,29.184491978609625,0,0,1,7.75,7.75,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
198,0,3,42.0,0,1,2,8.4042,4.2021,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
199,1,3,23.56578947368421,0,0,1,7.75,7.75,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
200,0,2,24.0,0,0,1,13.0,13.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
201,0,3,28.0,0,0,1,9.5,9.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
202,0,3,8.0,8,2,11,69.55,6.3227,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
203,0,3,34.0,0,0,1,6.4958,6.4958,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
204,0,3,45.5,0,0,1,7.225,7.225,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
205,1,3,18.0,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
206,0,3,2.0,0,1,2,10.4625,5.2312,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
207,0,3,32.0,1,0,2,15.85,7.925,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
208,1,3,26.0,0,0,1,18.7875,18.7875,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
209,1,3,16.0,0,0,1,7.75,7.75,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
210,1,1,40.0,0,0,1,31.0,31.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
211,0,3,24.0,0,0,1,7.05,7.05,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
212,1,2,35.0,0,0,1,21.0,21.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
213,0,3,22.0,0,0,1,7.25,7.25,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
214,0,2,30.0,0,0,1,13.0,13.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
215,0,3,24.823529411764707,1,0,2,7.75,3.875,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
216,1,1,31.0,1,0,2,113.275,56.6375,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
217,1,3,27.0,0,0,1,7.925,7.925,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
218,0,2,42.0,1,0,2,27.0,13.5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
219,1,1,32.0,0,0,1,76.2917,76.2917,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
220,0,2,30.0,0,0,1,10.5,10.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
221,1,3,16.0,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
222,0,2,27.0,0,0,1,13.0,13.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
223,0,3,51.0,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
224,0,3,29.18449197860963,0,0,1,7.8958,7.8958,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
225,1,1,38.0,1,0,2,90.0,45.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
226,0,3,22.0,0,0,1,9.35,9.35,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
227,1,2,19.0,0,0,1,10.5,10.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
228,0,3,20.5,0,0,1,7.25,7.25,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
229,0,2,18.0,0,0,1,13.0,13.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
230,0,3,5.5,3,1,5,25.4667,5.0933,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
231,1,1,35.0,1,0,2,83.475,41.7375,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
232,0,3,29.0,0,0,1,7.775,7.775,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
233,0,2,59.0,0,0,1,13.5,13.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
234,1,3,5.0,4,2,7,31.3875,4.4839,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
235,0,2,24.0,0,0,1,10.5,10.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
236,0,3,23.56578947368421,0,0,1,7.55,7.55,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
237,0,2,44.0,1,0,2,26.0,13.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
238,1,2,8.0,0,2,3,26.25,8.75,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
239,0,2,19.0,0,0,1,10.5,10.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
240,0,2,33.0,0,0,1,12.275,12.275,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
241,0,3,25.035714285714285,1,0,2,14.4542,7.2271,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
242,1,3,25.035714285714285,1,0,2,15.5,7.75,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
243,0,2,29.0,0,0,1,10.5,10.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
244,0,3,22.0,0,0,1,7.125,7.125,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
245,0,3,30.0,0,0,1,7.225,7.225,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
246,0,1,44.0,2,0,3,90.0,30.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
247,0,3,25.0,0,0,1,7.775,7.775,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
